INCOME_BUCKET_LONG,benchmark_percentage,kroger_percentage
"Less than $20,000",0.211175676,0.323114767
"$20,000-$29,999",0.201020281,0.326793017
"$30,000-$39,999",0.198603307,0.320549811
"$40,000-$49,999",0.198976835,0.326340189
"$50,000-$59,999",0.202837232,0.308240295
"$60,000-$69,999",0.202538265,0.314708876
"$70,000-$79,999",0.204553382,0.31692482
"$80,000-$89,999",0.207759212,0.312743056
"$90,000-$99,999",0.198271274,0.310144034
"$100,000-$124,999",0.203798068,0.306527673
"$125,000-$149,999",0.202621124,0.294413315
"$150,000-$174,999",0.199502053,0.291164865
"$175,000-$199,999",0.20481021,0.265642414
"$200,000-$224,999",0.199887773,0.284272673
"$225,000-$249,999",0.184752269,0.26864821
"$250,000 +",0.196918638,0.278510792
